windspeed,Vestas.V80.2000
13.55,0.782522
13.56,0.782802
13.57,0.783081
13.58,0.783776
13.59,0.783637
13.6,0.784328
13.61,0.784189
13.62,0.784875
13.63,0.784736
13.64,0.785008
13.65,0.785687
13.66,0.785549
13.67,0.786224
13.68,0.786086
13.69,0.786756
13.7,0.786618
13.71,0.787284
13.72,0.787146
13.73,0.787409
13.74,0.788067
13.75,0.78793
13.76,0.788585
13.77,0.788448
13.78,0.789098
13.79,0.788961
13.8,0.789216
13.81,0.78947
13.82,0.789723
13.83,0.790362
13.84,0.790226
13.85,0.79086
13.86,0.790725
13.87,0.791354
13.88,0.791219
13.89,0.791465
13.9,0.792088
13.91,0.791953
13.92,0.792571
13.93,0.792437
13.94,0.793051
13.95,0.792917
13.96,0.793526
13.97,0.793392
13.98,0.793629
13.99,0.793864
14,0.794098
14.01,0.794332
14.02,0.794564
14.03,0.794795
14.04,0.795025
14.05,0.795254
14.06,0.795482
14.07,0.795709
14.08,0.795934
14.09,0.796159
14.1,0.796383
14.11,0.796606
14.12,0.796828
14.13,0.797049
14.14,0.797617
14.15,0.797835
14.16,0.797705
14.17,0.798267
14.18,0.798137
14.19,0.798694
14.2,0.798565
14.21,0.799118
14.22,0.798989
14.23,0.7992
14.24,0.799746
14.25,0.799617
14.26,0.799825
14.27,0.800031
14.28,0.800236
14.29,0.800441
14.3,0.800644
14.31,0.801175
14.32,0.801375
14.33,0.801574
14.34,0.801447
14.35,0.801969
14.36,0.801843
14.37,0.80236
14.38,0.802234
14.39,0.802428
14.4,0.802939
14.41,0.802814
14.42,0.80332
14.43,0.803195
14.44,0.803697
14.45,0.803572
14.46,0.804069
14.47,0.803945
14.48,0.804438
14.49,0.804621
14.5,0.804498
14.51,0.804984
14.52,0.804861
14.53,0.805342
14.54,0.80522
14.55,0.805398
14.56,0.805575
14.57,0.805751
14.58,0.805926
14.59,0.8061
14.6,0.806273
14.61,0.806445
14.62,0.806907
14.63,0.806786
14.64,0.806955
14.65,0.80741
14.66,0.80729
14.67,0.807456
14.68,0.807621
14.69,0.807785
14.7,0.807949
14.71,0.80839
14.72,0.808271
14.73,0.808709
14.74,0.808866
14.75,0.808749
14.76,0.808906
14.77,0.809062
14.78,0.809217
14.79,0.809371
14.8,0.809793
14.81,0.809944
14.82,0.810093
14.83,0.810243
14.84,0.810127
14.85,0.810537
14.86,0.810422
14.87,0.810568
14.88,0.810713
14.89,0.810857
14.9,0.811
14.91,0.811143
14.92,0.811538
14.93,0.811424
14.94,0.811564
14.95,0.811702
14.96,0.811839
14.97,0.811975
14.98,0.812111
14.99,0.812491
15,0.812378
15.01,0.812511
15.02,0.812642
15.03,0.812773
15.04,0.812902
15.05,0.813269
15.06,0.813395
15.07,0.81352
15.08,0.813645
15.09,0.813535
15.1,0.813658
15.11,0.813781
15.12,0.814132
15.13,0.814023
15.14,0.81437
15.15,0.814487
15.16,0.814379
15.17,0.814719
15.18,0.814611
15.19,0.814726
15.2,0.81484
15.21,0.815171
15.22,0.815064
15.23,0.815175
15.24,0.815285
15.25,0.815394
15.26,0.815502
15.27,0.815609
15.28,0.815925
15.29,0.81582
15.3,0.815924
15.31,0.816234
15.32,0.816335
15.33,0.816435
15.34,0.816331
15.35,0.81643
15.36,0.816528
15.37,0.816625
15.38,0.816722
15.39,0.817014
15.4,0.817107
15.41,0.817005
15.42,0.81729
15.43,0.817189
15.44,0.817279
15.45,0.817369
15.46,0.817646
15.47,0.817545
15.48,0.817632
15.49,0.817718
15.5,0.817802
15.51,0.818068
15.52,0.817969
15.53,0.81823
15.54,0.818132
15.55,0.818211
15.56,0.818466
15.57,0.818543
15.58,0.818619
15.59,0.818521
15.6,0.818767
15.61,0.818671
15.62,0.818744
15.63,0.818816
15.64,0.818887
15.65,0.819122
15.66,0.819027
15.67,0.819095
15.68,0.819163
15.69,0.819389
15.7,0.819294
15.71,0.819359
15.72,0.819422
15.73,0.819641
15.74,0.819701
15.75,0.819608
15.76,0.819667
15.77,0.819726
15.78,0.819933
15.79,0.819841
15.8,0.819897
15.81,0.820097
15.82,0.820006
15.83,0.820059
15.84,0.820111
15.85,0.820302
15.86,0.820212
15.87,0.820261
15.88,0.820309
15.89,0.820493
